"id";"remarks"
22293;konsumen tdk ada ditempat pic fu gk ada respon dan minim info dari orang sekitar fu ulang
22294;visit hanya ketemu dengan orang tua konsumen info konsumen jarang sambang ke orang tua seminggu sekali by phone belum ada respon follow up terus
22295;visit ke alamat tagih dan pembayaran msh nunggu dana di minggu ini
22296;bertemu kons kontrak atas nama fu by wa pemakai dana belum respon fu ulang
22297;visit bertemu dengan karyawan info dari karyawan yg bersangkutan lg keluar dihubungi belum respon konsumen karakter dan menyepelekan unit tidak terlihat ram titip pesan ke karyawan untuk di sampaikan ke konsumen angsuranya BFI segera dibayarkan
22298;konsuemn sdh meninggal dunia smntara ada info janji bayar dri pasangan konsuemn dalam waktu dekat
22299;sutrino bertemu istri pk usaha jualan jajanan  pk kerka bangunan janji pembayarna dari gaji pk dam tambahan jualan istri
22300;ram press pemb
22301;tdk bertemu-usaha jual obat herbal n obat��n-unit ada dipakai usaha-by phone jb hari senin
22302;visit kerumah konsumen ketemu konsumen dan unit tidak ada. konsumen hanya atas nama. konsumen menunggu uang dari pemakai dana
22303;visit ke rmh konsumen konsumen tidak ad by phone tidak aktif akan dilakukan fu kembali
22304;bertemu sodara-kerja di luar kota-kterangan unit ada-visit kerumah sodara bertemu sodara rumah konsumen kosong byphone konsumen tunggu gajian
22305;"visit ke kos kons
kons tidak ada di kos
cuma ada anak kons
sebelumnya sudah bertemu kons 
jb tgl 30 
kons kontrak atas nama "
22306;ketemu konsumen di alamat baru dan masih diusahakan cari pinjaman dan janji bayar tgl 30
22307;fam berkunjung kerumah kons namun Kons tdak ada cba telofn kons tdak ada repaon akan di Fu kembali 
22308;visit ke rumah ortunya ketemu sodara kons infonya kons ke masamba kerja by phone tdk d respon unit di pakai kons pres sodara kons buat bantu FU kons
22309;visit bertemu dengan istri konsumen diusahakan jb akhir bulan pres dan kawal konsumen sampai bayar fu ulang
22310;visit ketempat konsumen jb kembali tgl 28 menunggu bonus dari tempat kerja
22311;konsumen janji bayar tanggal 31
22312;ktmu kons karakter bad unit gadai press byr jb tgl 30
22313;visit keeumah bertemu adik ybs karena ybs sedang keluar bersama anaknya jb terakhir kons tgl 28 menunggu pinjaman dari gaji mantan suami. 
22314;bertemu dengan ybsyang nyetorinnya anaknya anaknya lagi kerja gaada jb pasti tapi lagi di usahakan pantau truss
22315;kunjungan ke alamat kluarga kons info lagi ngurus asuransi kons dlm. proses survei krna yunit kons hilang dri brpa bulan yg lalu
22316;vsit dialamat rumah tdk bertmu rumah kosong info kons sdh meninggal dan fam cba hub psngan tdk ada respon unit dipakai sma psangan fam fu
22317;visit ke alamat tagi ketemu anak kons info kons lagi keluarsdah via tlpn kons info ansuran sampe sbntar mlm lagi cari dana tambahanakan di kawal
22318;visit alamat tinggal. bertemu konsumen. ada jb tgl 29/30 ini. masih nunggu uang dari sewa rentcar nya
22319;visit krmah cons ketemu dgn cons jb besok fu ulang
22320;bertemu kons gaji kons lambat dibayarkan oleh travel agent jb tgl 30/12 
22321;vsit kealamat debitur tdk bertemu info dri tetangga sedang mnjual dipasar unit ada by phone blm respon 
22322;visit di rumah istri dan ket dr keluarga bahwa ybs saat ini berada di kalimantan dan informasi unit sdh di gadai oleh pemilik unit atas nama epi. fu by phone tp blm ada balasan dr debitur
22323;visit ke alamat tagi ketemu anak konsinfo kons lagi keluar sdh via tlpn kons ansuran lagi tunggu dana tambahan dari adik kons di Ternateinfo unit tdak perna kelihatan saat visit akan di kawal
22324;konsumen janji bayar
22325;unit dan nasabah raib rumah sudah djual unut terpantau di jawa barat namun gagal eksekusi karena noka dan nosin beda
22326;kons tidak ada ditempat 
22327;visit di tempat usaha sekaligus rumah kons. Rumah tutupan. Ada Jb kmaren tgl 25 tapi mleset. Fu by phone kons ada di bali jualannya kons lagi sepi dan mengusahakan di tgl 28. Fam fu. Unit tdk terlihat. 
22328;kons nunggu uang dari pemakai dana
22329;saat fam visit kons tidak ada berada dirumah fam cuma bertemu dengan adik kons info adik kons kons sedang bekerja fam akn fi by phone untuk memastikan tgl JB kons
22330;visit tidak ktmubkons di hub kons mengusahkan jb tgl 30
22331;visit ke alamat rumahbertemu suami ybsketerlambatan karna suami ybs sempat berhenti kerja 2 bulanpush bayar tanggal 30
